slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
arizatr01,Trevor Ariza,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33,PHOENIX SUNS,26,26,884,86,227,50,139,36,43,16,129,87,38,8,39,44,258
arizatr01,Trevor Ariza,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33,WASHINGTON WIZARDS,43,43,1465,208,509,95,295,94,121,34,192,165,53,13,67,86,605
augusdj01,D.J. Augustin,[<Position.POINT_GUARD: 'POINT GUARD'>],31,ORLANDO MAGIC,81,81,2269,318,677,131,311,181,209,41,162,426,52,4,128,115,948
aytonde01,Deandre Ayton,[<Position.CENTER: 'CENTER'>],20,PHOENIX SUNS,71,70,2183,509,870,0,4,141,189,223,506,125,61,67,126,209,1159
bacondw01,Dwayne Bacon,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,CHARLOTTE HORNETS,43,13,759,122,257,38,87,34,46,8,81,47,12,5,18,72,316
baglema01,Marvin Bagley III,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19,SACRAMENTO KINGS,62,4,1567,356,706,30,96,181,262,162,309,62,33,59,98,120,923
bakerro01,Ron Baker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,NEW YORK KNICKS,11,0,107,4,16,1,9,5,6,1,6,13,5,0,3,16,14
bakerro01,Ron Baker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,WASHINGTON WIZARDS,4,0,45,0,4,0,4,0,0,0,4,2,1,1,2,2,0
baldwwa01,Wade Baldwin,[<Position.POINT_GUARD: 'POINT GUARD'>],22,PORTLAND TRAIL BLAZERS,16,0,94,10,33,2,9,8,11,2,13,12,1,2,14,11,30
balllo01,Lonzo Ball,[<Position.POINT_GUARD: 'POINT GUARD'>],21,LOS ANGELES LAKERS,47,45,1423,185,456,75,228,20,48,54,197,255,69,19,103,114,465
bambamo01,Mo Bamba,[<Position.CENTER: 'CENTER'>],20,ORLANDO MAGIC,47,1,766,117,243,21,70,37,63,64,169,39,13,64,43,102,292
bareajo01,J.J. Barea,[<Position.POINT_GUARD: 'POINT GUARD'>],34,DALLAS MAVERICKS,38,0,752,161,385,38,128,55,78,13,82,211,22,1,72,50,415
barneha02,Harrison Barnes,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,DALLAS MAVERICKS,49,49,1584,290,717,121,311,165,198,36,171,62,33,11,68,79,866
